Trace,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter128,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter16,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter32,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter64,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter8,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru128,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru16,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru32,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru64,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru8,ipc1_fdipChampSim_fdip_lru128,ipc1_fdipChampSim_fdip_lru16,ipc1_fdipChampSim_fdip_lru32,ipc1_fdipChampSim_fdip_lru64,ipc1_fdipChampSim_fdip_lru8,ipc1_fdipChampSim_fdip_opt128,ipc1_fdipChampSim_fdip_opt16,ipc1_fdipChampSim_fdip_opt32,ipc1_fdipChampSim_fdip_opt64,ipc1_fdipChampSim_fdip_opt8,ipc1_fdipChampSim_fdip_srrip128,ipc1_fdipChampSim_fdip_srrip16,ipc1_fdipChampSim_fdip_srrip32,ipc1_fdipChampSim_fdip_srrip64,ipc1_fdipChampSim_fdip_srrip8
server_025,1.62791,1.6278,1.62791,1.62791,1.62429,1.62791,1.62781,1.62791,1.62791,1.62457,1.62791,1.62789,1.62788,1.62791,1.61484,1.62791,1.62755,1.62791,1.62791,1.62453,1.62791,1.6276,1.62789,1.62791,1.62117
server_026,1.62345,1.62317,1.62345,1.62345,1.61916,1.62345,1.62332,1.62345,1.62345,1.61909,1.62345,1.62306,1.62345,1.62345,1.60499,1.62345,1.62319,1.62345,1.62345,1.61933,1.62345,1.62303,1.62345,1.62345,1.6149
server_027,1.61424,1.61418,1.61425,1.61424,1.61116,1.61424,1.61422,1.61425,1.61424,1.61113,1.61424,1.61418,1.61427,1.61424,1.60287,1.61424,1.61416,1.61425,1.61424,1.61165,1.61424,1.61405,1.61425,1.61424,1.60963
server_028,1.53557,1.53557,1.53557,1.53557,1.53539,1.53557,1.53557,1.53557,1.53557,1.53534,1.53557,1.53557,1.53557,1.53557,1.53496,1.53557,1.53557,1.53557,1.53557,1.53531,1.53557,1.53557,1.53557,1.53557,1.53516
server_029,1.51549,1.51549,1.51549,1.51549,1.51534,1.51549,1.51549,1.51549,1.51549,1.51531,1.51549,1.51547,1.51548,1.51549,1.51514,1.51549,1.51548,1.51549,1.51549,1.51535,1.51549,1.51545,1.51549,1.51549,1.51514
server_030,1.59908,1.59908,1.59908,1.59908,1.59835,1.59908,1.59908,1.59908,1.59908,1.59834,1.59908,1.59911,1.59908,1.59908,1.59647,1.59908,1.59908,1.59908,1.59908,1.59824,1.59908,1.59903,1.59908,1.59908,1.59772
server_031,1.49432,1.49431,1.49432,1.49432,1.49408,1.49432,1.49432,1.49432,1.49432,1.49412,1.49432,1.4943,1.49428,1.49432,1.4935,1.49432,1.49432,1.49432,1.49432,1.4939,1.49432,1.49447,1.49432,1.49432,1.49367
server_032,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.6164,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.61641,1.6164
server_033,1.72669,1.7267,1.72669,1.72669,1.7267,1.72669,1.7267,1.72669,1.72669,1.72669,1.72669,1.72671,1.72669,1.72669,1.72669,1.72669,1.72672,1.72669,1.72669,1.72669,1.72669,1.72669,1.72669,1.72669,1.72664
server_034,1.83106,1.83105,1.83106,1.83106,1.83106,1.83106,1.83105,1.83106,1.83106,1.83106,1.83106,1.83105,1.83106,1.83106,1.83105,1.83106,1.83105,1.83106,1.83106,1.83036,1.83106,1.83106,1.83106,1.83106,1.83105
